Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
13143,"Pop Goes the Weasel (Alex Cross, #5)",James  Patterson,"Patterson, James",,"=""0446608815""","=""9780446608817""",5,4.04,TIme Warner Books,Mass Market Paperback,461,1999,1999,2023/08/20,2024/07/07,csi,csi (#23),read,,,,1,0
21436,"Cat & Mouse (Alex Cross, #4)",James  Patterson,"Patterson, James",,"=""""","=""""",4,4.04,"Little, Brown  and Company",Hardcover,416,1997,1997,2023/06/02,2024/07/07,csi,csi (#22),read,,,,1,0
13140,"Jack & Jill (Alex Cross, #3)",James  Patterson,"Patterson, James",,"=""0446692654""","=""9780446692656""",5,4.00,"Little, Brown and Company",Paperback,466,2003,1996,2023/05/21,2024/07/07,csi,csi (#21),read,,,,1,0
13148,"Kiss the Girls (Alex Cross, #2)",James  Patterson,"Patterson, James",,"=""0446677388""","=""9780446677387""",4,4.00,Warner Books,Paperback,481,2000,1995,2022/08/12,2024/07/07,csi,csi (#20),read,,,,1,0
13145,"Along Came a Spider (Alex Cross, #1)",James  Patterson,"Patterson, James",,"=""0446692638""","=""9780446692632""",4,4.13,"Little, Brown and Company",Paperback,449,2003,1993,2022/07/05,2024/07/07,csi,csi (#19),read,,,,1,0
44654627,"One of Us Is Next (One of Us Is Lying, #2)",Karen M. McManus,"McManus, Karen M.",,"=""0525707964""","=""9780525707967""",0,3.90,Delacorte Press for Young Readers,Hardcover,377,2020,2020,,2024/07/09,"to-read, csi","to-read (#31), csi (#18)",to-read,,,,0,0
16131489,"The Last Star (The 5th Wave, #3)",Rick Yancey,"Yancey, Rick",,"=""0399162437""","=""9780399162435""",0,3.61,G.P. Putnam's Sons Books for Young Readers,Hardcover,338,2016,2016,,2024/07/12,"to-read, dystopian-fantasy","to-read (#40), dystopian-fantasy (#13)",to-read,,,,0,0
16131484,"The Infinite Sea (The 5th Wave, #2)",Rick Yancey,"Yancey, Rick",,"=""1101599014""","=""9781101599013""",0,3.83,Putnam Juvenile,Kindle Edition,320,2014,2014,,2024/07/12,"to-read, dystopian-fantasy","to-read (#39), dystopian-fantasy (#12)",to-read,,,,0,0
16101128,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,"Yancey, Rick",,"=""0399162410""","=""9780399162411""",0,4.00,G.P. Putnam's Sons Books for Young Readers,Hardcover,457,2013,2013,,2024/07/12,"to-read, dystopian-fantasy","to-read (#38), dystopian-fantasy (#11)",to-read,,,,0,0
57693172,A Flicker in the Dark,Stacy Willingham,"Willingham, Stacy",,"=""1250803829""","=""9781250803825""",0,3.98,Minotaur Books,Hardcover,357,2022,2022,,2024/07/07,"to-read, uneasy-feeling, csi","to-read (#23), uneasy-feeling (#4), csi (#17)",to-read,,,,0,0
36337550,The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",,"=""""","=""""",0,3.79,Sourcebooks Landmark,Hardcover,432,2018,2018,,2024/07/07,"to-read, csi","to-read (#10), csi (#16)",to-read,,,,0,0
60320602,"Gleanings (Arc of a Scythe, #3.5)",Neal Shusterman,"Shusterman, Neal","David  Yoon, Jarrod Shusterman, Joelle Shusterman, Michael H. Payne, Michelle Knowlden, Sofía Lapuente","=""1534499970""","=""9781534499973""",0,4.00,Simon & Schuster Books for Young Readers,Hardcover,423,2022,2022,,2024/07/12,"to-read, dystopian-fantasy","to-read (#44), dystopian-fantasy (#10)",to-read,,,,0,0
43822024,"The Toll (Arc of a Scythe, #3)",Neal Shusterman,"Shusterman, Neal",,"=""1481497065""","=""9781481497060""",0,4.17,Simon & Schuster Books for Young Readers,Hardcover,625,2019,2019,,2024/07/12,"to-read, dystopian-fantasy","to-read (#43), dystopian-fantasy (#9)",to-read,,,,0,0
33555224,"Thunderhead (Arc of a Scythe, #2)",Neal Shusterman,"Shusterman, Neal",,"=""1442472456""","=""9781442472457""",0,4.39,Simon & Schuster Books for Young Readers,Hardcover,504,2018,2018,,2024/07/12,"to-read, dystopian-fantasy","to-read (#42), dystopian-fantasy (#8)",to-read,,,,0,0
28954189,"Scythe (Arc of a Scythe, #1)",Neal Shusterman,"Shusterman, Neal",,"=""""","=""""",0,4.32,Simon & Schuster Books for Young Readers,Hardcover,435,2016,2016,,2024/07/12,"to-read, dystopian-fantasy","to-read (#41), dystopian-fantasy (#7)",to-read,,,,0,0
61153530,Tell Me What Really Happened,Chelsea Sedoti,"Sedoti, Chelsea",,"=""1492673056""","=""9781492673057""",0,3.44,Sourcebooks Fire,Hardcover,416,2023,2022,,2024/07/12,"to-read, csi","to-read (#34), csi (#15)",to-read,,,,0,0
36809135,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,"=""0735219117""","=""9780735219113""",0,4.38,G.P. Putnam’s Sons,ebook,384,2018,2018,,2024/07/07,"to-read, csi","to-read (#14), csi (#14)",to-read,,,,0,0
52588702,The Summer House,James  Patterson,"Patterson, James",Brendan DuBois,"=""0316539554""","=""9780316539555""",0,4.25,"Little, Brown and Company",Hardcover,448,2020,2020,,2024/07/07,"to-read, csi","to-read (#8), csi (#13)",to-read,,,,0,0
37004370,The Memory Police,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""1101870605""","=""9781101870600""",0,3.71,Pantheon,Hardcover,274,2019,1994,,2024/07/12,"to-read, dystopian-fantasy, uneasy-feeling","to-read (#35), dystopian-fantasy (#5), uneasy-feeling (#3)",to-read,,,,0,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",0,4.17,Celadon Books,Hardcover,336,2019,2019,,2024/07/07,"to-read, csi","to-read (#6), csi (#12)",to-read,,,,0,0
57932307,"One of Us Is Back (One of Us Is Lying, #3)",Karen M. McManus,"McManus, Karen M.",,"=""0593485033""","=""9780593485033""",0,3.96,Delacorte,Kindle Edition,368,2023,2023,,2024/07/09,"to-read, csi","to-read (#32), csi (#11)",to-read,,,,0,0
58679358,"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,"McManus, Karen M.",,"=""0593565371""","=""9780593565377""",0,3.92,Delacorte Press,Hardcover,416,2021,2017,,2024/07/07,"to-read, csi","to-read (#9), csi (#10)",to-read,,,,0,0
60556912,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,"=""1803144378""","=""9781803144375""",0,4.31,Bookouture,Kindle Edition,329,2022,2022,,2024/07/07,"to-read, uneasy-feeling","to-read (#13), uneasy-feeling (#2)",to-read,,,,0,0
60177373,Fairy Tale,Stephen        King,"King, Stephen",,"=""1668002175""","=""9781668002179""",0,4.10,Scribner,Hardcover,607,2022,2022,,2024/07/07,"to-read, dystopian-fantasy","to-read (#11), dystopian-fantasy (#4)",to-read,,,,0,0
6320534,Under the Dome,Stephen        King,"King, Stephen",,"=""1439148503""","=""9781439148501""",0,3.93,Scribner,Hardcover,1074,2009,2009,,2024/07/12,"to-read, dystopian-fantasy","to-read (#46), dystopian-fantasy (#3)",to-read,,,,0,0
89717,The Haunting of Hill House,Shirley Jackson,"Jackson, Shirley",Laura Miller,"=""0143039989""","=""9780143039983""",0,3.82,Penguin Classics,Paperback,182,2006,1959,,2024/07/07,"to-read, uneasy-feeling","to-read (#15), uneasy-feeling (#1)",to-read,,,,0,0
56905097,"As Good As Dead (A Good Girl's Guide to Murder, #3)",Holly  Jackson,"Jackson, Holly",,"=""0593379853""","=""9780593379851""",0,4.20,Delacorte Press,Hardcover,500,2021,2021,,2024/07/09,"to-read, csi","to-read (#30), csi (#8)",to-read,,,,0,0
51335759,"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)",Holly  Jackson,"Jackson, Holly",,"=""1405297751""","=""9781405297752""",0,4.27,Electric Monkey,Paperback,413,2020,2020,,2024/07/09,"to-read, csi","to-read (#29), csi (#7)",to-read,,,,0,0
40916679,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"Jackson, Holly",,"=""1405293187""","=""9781405293181""",0,4.30,Electric Monkey,Paperback,433,2019,2019,,2024/07/07,"to-read, csi","to-read (#4), csi (#6)",to-read,,,,0,0
169485073,"The Strength of the Few (Hierarchy, #2)",James  Islington,"Islington, James",,"=""""","=""""",0,4.69,,Unknown Binding,,2025,2025,,2024/07/19,to-read,to-read (#48),to-read,,,,0,0
58416952,"The Will of the Many (Hierarchy, #1)",James  Islington,"Islington, James",,"=""1982141190""","=""9781982141196""",0,4.61,Gallery / Saga Press,Kindle Edition,639,2023,2023,,2024/07/19,"to-read, dystopian-fantasy","to-read (#47), dystopian-fantasy (#2)",to-read,,,,0,0
11996,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline",Ros Schwartz,"=""0380731819""","=""9780380731817""",0,4.17,Avon Eos,Mass Market Paperback,208,1998,1995,,2024/07/12,"to-read, csi","to-read (#36), csi (#5)",to-read,,,,0,0
